id,name,brand,category,rating,feedbacks,supplierRating,base_price,discount_price
26723998,Кольцо гимнастическое для пилатеса и фитнеса,YOGATEKA,гимнастические кольца,5,117,4.8,1050.0,634.0
1160278477,Деревянные гимнастические кольц,Нет бренда,гимнастические кольца,5,1,5.0,6109.0,2394.0
491524499,Детские гимнастические кольца Звезда и кольца жёлтые,,гимнастические кольца,0,0,4.8,1702.0,583.0
692514823,Гимнастические кольца,,гимнастические кольца,0,0,4.6,2381.0,565.0
999134074,"Гимнастические кольца, диаметр хвата 158",,гимнастические кольца,0,0,3.8,3380.0,545.0
582392788,Гимнастические кольца 2 метра для тренировок,,гимнастические кольца,4,1,4.4,1750.0,1200.0
491524489,Детские гимнастические кольца Звезда Большие красные,,гимнастические кольца,0,0,4.8,1738.0,596.0
491524502,Детские гимнастические кольца Звезда Большие синие,,гимнастические кольца,0,0,4.8,1738.0,596.0
314318989,Гимнастические кольца UHA-69402,UFC,гимнастические кольца,0,0,4.7,6700.0,3939.0
609299237,Гимнастические кольца взрослые на турник,шведская стенка,гимнастические кольца,3,3,4.8,2500.0,1749.0
1083963836,"Гимнастические кольца, диаметр хвата 150",,гимнастические кольца,0,0,4.5,1309.0,534.0
1082454119,"Гимнастические кольца для детей, регулируемые, 200 кг",,гимнастические кольца,0,0,4.5,2250.0,555.0
491524491,Детские гимнастические кольца Звезда Большие жёлтые,,гимнастические кольца,0,0,4.8,1738.0,596.0
1115770202,Гимнастические кольца черные и,hufuch,гимнастические кольца,0,0,5.0,2100.0,1481.0
1115770203,Гимнастические кольца черные и,hufuch,гимнастические кольца,0,0,5.0,2055.0,1470.0
874270779,Кольцо гимнастическое для пилатес и фитнеса,,гимнастические кольца,0,0,4.6,1000.0,690.0
871385081,"Кольца гимнастические детские,пара",,гимнастические кольца,0,0,4.5,300.0,300.0
161693073,Тренажер кольцо для пилатеса,Twin Fox,гимнастические кольца,5,44,4.7,2000.0,710.0
897198183,Гимнастические кольца с регулируемыми стропами,,гимнастические кольца,0,0,3.9,3952.0,750.0
1167078686,Деревянные гимнастические кольца 32 мм + стропы + накладки,Нет бренда,гимнастические кольца,5,3,5.0,10277.0,2820.0
55650997,Гимнастические кольца универсальные на шведскую стенку,CometaSport,гимнастические кольца,5,209,4.9,1780.0,609.0
177222683,Гимнастические кольца универсальные на шведскую стенку,CometaSport,гимнастические кольца,5,172,4.9,1780.0,609.0
39420064,Гимнастические кольца пластиковые набор,Absolute Champion,гимнастические кольца,5,1197,4.8,1455.0,339.0
711882461,"Гимнастические кольца для кроссфита, воркаута и турника",,гимнастические кольца,5,175,4.8,10000.0,2332.0
177222686,Гимнастические кольца универсальные на шведскую стенку,CometaSport,гимнастические кольца,5,50,4.9,1780.0,609.0
820166868,Кольца гимнастические,,гимнастические кольца,0,0,4.8,900.0,465.0
11046449,Кольца гимнастические детские спортивный набор 2 шт Россия,ATLETIX,гимнастические кольца,5,1013,4.9,2510.0,734.0
59378328,Гимнастические кольца универсальные на шведскую стенку,CometaSport,гимнастические кольца,5,89,4.9,1780.0,609.0
253072222,Кольца гимнастические детские для турника,BrightJoy,гимнастические кольца,5,353,4.9,2990.0,724.0
206092307,Гимнастические кольца для детей,Arizona Sport,гимнастические кольца,5,173,4.9,2008.0,525.0
55650998,Гимнастические кольца универсальные на шведскую стенку,CometaSport,гимнастические кольца,5,54,4.9,1780.0,609.0
39420065,Гимнастические кольца пластиковые набор,Absolute Champion,гимнастические кольца,5,650,4.8,1592.0,400.0
158327466,Кольца гимнастические детские для упражнений до 50 кг,Kplast,гимнастические кольца,5,651,4.9,1000.0,498.0
206092309,Гимнастические кольца для детей,Arizona Sport,гимнастические кольца,5,173,4.9,2008.0,525.0
206092308,Гимнастические кольца для детей,Arizona Sport,гимнастические кольца,5,173,4.9,2008.0,525.0
165589033,Кольца гимнастические детские для упражнений до 50 кг,Kplast,гимнастические кольца,5,482,4.9,1000.0,498.0
177222680,Гимнастические кольца универсальные на шведскую стенку,CometaSport,гимнастические кольца,5,78,4.9,1780.0,609.0
368078549,Кольца гимнастические детские с канатами,Опилка,гимнастические кольца,5,51,4.9,1500.0,728.0
261674527,Кольца гимнастические 30 мм со стропами 38 мм с пропиткой,Мир спорта 365,гимнастические кольца,5,6,4.9,7600.0,2726.0
232830565,Кольца гимнастические детские для упражнений до 50 кг,Kplast,гимнастические кольца,5,270,4.9,1000.0,498.0
14379845,Кольца гимнастические детские спортивный набор 2 шт Россия,ATLETIX,гимнастические кольца,5,1082,4.9,2510.0,734.0
174413832,Кольца гимнастические деревянные 18 см,PLwood,гимнастические кольца,5,778,4.9,1950.0,1008.0
206092306,Гимнастические кольца для детей,Arizona Sport,гимнастические кольца,5,173,4.9,2008.0,525.0
31015990,Стропы с нумерацией для гимнастических колец,Мир спорта 365,гимнастические кольца,5,18,4.9,3200.0,1196.0
1010231656,Кольца гимнастические,,гимнастические кольца,5,1,4.6,2500.0,1363.0
676333686,"Гимнастическое кольцо портативное подвесное, тренажерный",MyPads,гимнастические кольца,5,2,4.7,1302.0,584.0
193758988,Кольца гимнастические детские спортивный набор 2 шт Россия,ATLETIX,гимнастические кольца,5,951,4.9,2510.0,793.0
154805846,Кольца гимнастические кросс-тренинг,STRONG BODY,гимнастические кольца,5,171,4.9,6728.0,2132.0
206092310,Гимнастические кольца для детей,Arizona Sport,гимнастические кольца,5,173,4.9,2008.0,525.0
